table_name,constraint_name,definition
leads,leads_business_app_id_fkey,FOREIGN KEY (business_app_id) REFERENCES business_apps(id) ON DELETE SET NULL
leads,leads_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
app_configs,app_configs_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES business_assets(id) ON DELETE CASCADE
app_configs,app_configs_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
app_visitor_tokens,app_visitor_tokens_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
app_usage_log,app_usage_log_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES business_assets(id) ON DELETE CASCADE
app_usage_log,app_usage_log_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
app_bug_log,app_bug_log_asset_id_fkey,FOREIGN KEY (asset_id) REFERENCES business_assets(id) ON DELETE CASCADE
app_bug_log,app_bug_log_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
factory_v2_app_skin,factory_v2_app_skin_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
plan,plan_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
plan_phase,plan_phase_lifecycle_phase_id_fkey,FOREIGN KEY (lifecycle_phase_id) REFERENCES lifecycle_phases(id) ON DELETE SET NULL
plan_phase,plan_phase_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES plan(id) ON DELETE CASCADE
phase_milestone,phase_milestone_plan_phase_id_fkey,FOREIGN KEY (plan_phase_id) REFERENCES plan_phase(id) ON DELETE CASCADE
playbook,playbook_assigned_to_fkey,FOREIGN KEY (assigned_to) REFERENCES users(id) ON DELETE SET NULL
playbook,playbook_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
playbook,playbook_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES plan(id) ON DELETE SET NULL
playbook,playbook_plan_phase_id_fkey,FOREIGN KEY (plan_phase_id) REFERENCES plan_phase(id) ON DELETE SET NULL
playbook_runs,playbook_runs_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
playbook_runs,playbook_runs_playbook_id_fkey,FOREIGN KEY (playbook_id) REFERENCES playbook(id) ON DELETE CASCADE
playbook_runs,playbook_runs_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
playbook_task,playbook_task_manual_done_by_fkey,FOREIGN KEY (manual_done_by) REFERENCES users(id) ON DELETE SET NULL
playbook_task,playbook_task_playbook_id_fkey,FOREIGN KEY (playbook_id) REFERENCES playbook(id) ON DELETE CASCADE
playbook_task,playbook_task_task_id_fkey,FOREIGN KEY (task_id) REFERENCES tasks(id) ON DELETE RESTRICT
playbook_task,playbook_task_task_run_id_fkey,FOREIGN KEY (task_run_id) REFERENCES task_runs(id) ON DELETE SET NULL
task_objectives,task_objectives_objective_id_fkey,FOREIGN KEY (objective_id) REFERENCES objectives(id) ON DELETE CASCADE
task_objectives,task_objectives_task_id_fkey,FOREIGN KEY (task_id) REFERENCES tasks(id) ON DELETE CASCADE
prompt_definitions,prompt_definitions_created_by_fkey,FOREIGN KEY (created_by) REFERENCES users(id) ON DELETE SET NULL
prompt_definitions,prompt_definitions_task_slug_fkey,FOREIGN KEY (task_slug) REFERENCES tasks(slug) ON DELETE CASCADE
harness_runs,harness_runs_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE SET NULL
content_assets,content_assets_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
content_assets,content_assets_source_asset_id_fkey,FOREIGN KEY (source_asset_id) REFERENCES business_assets(id) ON DELETE SET NULL
content_assets,content_assets_task_run_id_fkey,FOREIGN KEY (task_run_id) REFERENCES task_runs(id) ON DELETE SET NULL
